site_name,transmission_catchment,catchment_confidence,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags
Stanwell Power Station BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stanwell,150.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0,
Stapylton Renewable Energy Facility,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Stapylton,4.24,Reciprocating Engine - Spark ignition,Landfill Gas,LMS Energy Pty Ltd,tier_3,0,
Stony Creek Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Stony Creek Wind,400.0,Wind Turbine - Onshore,Wind - Wind,Greenleaf Renewable,tier_3,0,
Sun Metals Corporation Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Sun Metals,143.0,Solar PV - Fixed,Solar,Sun Metals Corporation Pty Ltd,tier_3,0,
Sunshine Coast Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Sunshine Coast,15.0,Solar PV - Fixed,Solar,Sunshine Coast Regional Council,tier_3,0,
Sunshine Energy Solar Farm,Unclassified,review,No rule matched — manual review needed,,1500.0,Solar PV - Single axis tracking,Solar,Sunshine Energy,tier_3,2,manual_known_phantom
Sunshine State Solar Farm and BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Sunshine State,110.0,Solar PV - Fixed,Solar - Solar,ESCO Pacific,tier_2,0,
Sunshine State Solar Farm and BESS (Rollingstone),CQ,high,CQ corridor (Callide/Gladstone/Isaac),Rollingstone,500.0,Solar PV - Fixed,Solar,Rollingstone Solar Farm Pty Ltd,tier_3,1,large_tier3
Suntown Renewable Energy Facility,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Suntown,1.025,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0,
Supernode BESS,Unclassified,review,No rule matched — manual review needed,,260.0,Storage - Battery,Other - Other,Supernode Operations Pty Ltd as the trustee for Supernode BESS 1 Project Trust,tier_3,0,
Supernode Project,Unclassified,review,No rule matched — manual review needed,,250.0,Storage - Battery,Solar - Solar,Quinbrook Asset Management as Trustee for The Australian Clean Power Trust 2A,tier_1,1,stale_proposed_4plus_releases
Susan River Solar Farm,WG,medium,Wide Bay region (judgement call),Susan River,85.26,Solar PV - Single axis tracking,Solar,Susan River Solar Pty Ltd as trustee for the Susan River Solar Trust,tier_3,0,
Swanbank BESS,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,250.0,Storage - Battery,Other - Other,CleanCo QLD Limited,tier_1,0,
Swanbank E GT,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,385.0,Turbine - CCGT,Coal Seam Methane,CleanCo Queensland Limited,tier_1,0,
Swanbank JV,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Swanbank,1.123,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS ENERGY Pty Ltd,tier_3,0,
Tableland Mill,FNQ,high,FNQ corridor (Townsville and north),Tableland Mill,24.0,Turbine - Steam Sub Critical,Other,MSF Sugar,tier_3,0,
Tangkam BESS,Unclassified,review,No rule matched — manual review needed,,100.0,Storage - Battery,Other,Atria Energy Ltd,tier_3,0,
Tangkam BESS - KCI,Unclassified,review,No rule matched — manual review needed,,100.0,Storage - Battery,Other - Other, Atria Energy Ltd,tier_3,0,
Tara Wind Farm - KCI,WD,medium,Western Downs region (judgement call),Tara Wind,1800.0,Wind Turbine - Onshore,Wind - Wind,Tara Wind Farm Pty Ltd,tier_3,2,mega_non_tier1
Tarong,TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,350.0,Turbine - Steam Sub Critical,Black Coal,Stanwell Corporation Limited,tier_1,0,
Tarong BESS - Stanwell,TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,300.0,Storage - Battery,Other - Other,Stanwell Corporation Limited,tier_1,0,
Tarong GT,TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,15.0,Turbine - OCGT,Fuel Oil,Stanwell Corporation Limited,tier_1,0,
Tarong North,TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,450.0,Turbine - Steam Super Critical,Black Coal,Stanwell Corporation Limited,tier_1,0,
Tarong West Wind Farm (Ironleaf),TG,high,Tarong corridor (Tarong PS/Kingaroy),Tarong,900.0,Wind Turbine - Onshore,Wind - Wind,Tarong West Project Co Pty Ltd as trustee for the Tarong West Project Trust ,tier_3,1,large_tier3
Teebar Creek Battery Storage - KCI,WG,high,Woolooga corridor (Gympie/Maryborough),Teebar,400.0,Storage - Battery,Other - Other,ATMOS DEVELOPMENTS PTY LTD,tier_3,0,
Teebar Solar One,WG,high,Woolooga corridor (Gympie/Maryborough),Teebar,52.5,Solar PV - Fixed,Solar,Teebar Clean Energy Pty Ltd,tier_3,0,
The Block BESS,Unclassified,review,No rule matched — manual review needed,,324.0,Storage - Battery,Other - Other,Samsung C&T Renewable Energy Australia Pty Ltd,tier_3,0,
The Central BESS - KCI,Unclassified,review,No rule matched — manual review needed,,648.0,Storage - Battery,Other - Other,ACEnergy Pty Ltd,tier_2,0,
Theodore BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Theodore,240.0,Storage - Battery,Other - Other,RWE,tier_1,0,
Theodore Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Theodore,84.0,Solar PV - Single axis tracking,Solar,Theodore SF Pty Ltd as trustee for Theodore SF Trust  ,tier_3,2,stale_proposed_4plus_releases
Theodore Wind Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Theodore,1152.0,Wind Turbine - Onshore,Wind - Wind,RWE Renewables Australia,tier_1,0,
Three Rivers BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Three Rivers,500.0,Storage - Battery,Other - Other,Iberdrola Australia Development Pty Ltd.,tier_1,0,
Three Rivers Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Three Rivers,700.0,Solar PV - Fixed,Solar - Solar,Iberdrola Australia Development Pty Ltd.,tier_1,0,
Ti Tree Bioenergy,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Ti Tree,4.4,Reciprocating Engine - Spark ignition,Biomass,Ti Tree Bioenergy,tier_3,0,
Ticoba BESS,Unclassified,review,No rule matched — manual review needed,,550.0,Storage - Battery,Other - Other,European Energy Australia P/L,tier_1,0,
Ticoba Solar Farm,Unclassified,review,No rule matched — manual review needed,,550.0,Solar PV - Fixed,Solar - Solar,European Energy Australia P/L,tier_1,0,
Tieri BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Tieri,103.2,Storage - Battery,Other - Other,FRV Service Australia Pty Ltd,tier_3,0,
Tieri Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Tieri,95.0,Solar PV - Fixed,Solar,FRV Service Australia Pty Ltd,tier_3,2,stale_proposed_4plus_releases
Todae Solar - DHP 1MW,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.9541,Solar PV - Fixed,Solar,TBA,tier_3,0,
Todae Solar SV - Holy Spirit Northside,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.3932,Solar PV - Fixed,Solar,TBA,tier_3,0,
Todae Solar SV - Mitchelton,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.18,Solar PV - Fixed,Solar - Solar,TBA,tier_3,0,
Todae Solar SV - Private Brisbane,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Brisbane,0.1705,Solar PV - Fixed,Solar,TBA,tier_3,0,
Todae Solar SV - Toowoomba,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,0.2601,Solar PV - Fixed,Solar,TBA,tier_3,0,
Todae Solar SV Lourdes,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Todae,0.264,Solar PV - Fixed,Solar,TBA,tier_3,0,
Tong Park - Agricultural Waste,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Tong Park,1.23,Other - Other,Renewable Biomass or Waste - Bagasse,TBA,tier_3,0,
Toowoomba Pumped Storage Project,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,400.0,Storage - Battery,Other - Other,BE Power,tier_2,0,
Townsville BESS,FNQ,high,FNQ corridor (Townsville and north),Townsville,200.0,Storage - Battery,Other - Other,ACEnergy Pty Ltd,tier_2,0,
Townsville Power Station,FNQ,high,FNQ corridor (Townsville and north),Townsville,160.0,Turbine - CCGT,Natural Gas Pipeline,RATCH-Australia,tier_2,0,
Townsville Power Station.,FNQ,high,FNQ corridor (Townsville and north),Townsville,160.0,Turbine - CCGT,Fossil - Natural Gas Pipeline,RATCH-Australia,tier_2,0,
Tuckeroo BESS - KCI,Unclassified,review,No rule matched — manual review needed,,500.0,Storage - Battery,Other - Other,Tuckeroo BESS Pty Ltd,tier_3,1,large_tier3
Tully BESS,FNQ,high,FNQ corridor (Townsville and north),Tully,200.0,Storage - Battery,Other - Other,RWE Renewables Australia Pty Ltd,tier_1,0,
Tully Sugar Mill,FNQ,high,FNQ corridor (Townsville and north),Tully,32.0,Turbine - Steam Super Critical,Renewable Biomass or Waste - Bagasse,Tully Sugar Limited,tier_1,0,
Tummaville Hybrid Facility - BESS (KCI),SD,medium,SD region (Millmerran/Inglewood corridor),Tummaville,500.0,Storage - Battery,Other - Other,Elements Green Australia Pty Ltd,tier_2,0,
Tummaville Hybrid Facility - Solar (KCI),SD,medium,SD region (Millmerran/Inglewood corridor),Tummaville,500.0,Solar PV - Fixed,Solar - Solar,Elements Green Australia Pty Ltd,tier_2,0,
Tumuruu BESS,Unclassified,review,No rule matched — manual review needed,,295.0,Storage - Battery,Other - Other,Austraiian Solar,tier_3,0,
Tumuruu Solar Farm,Unclassified,review,No rule matched — manual review needed,,464.0,Solar PV - Fixed,Solar - Solar,Austraiian Solar,tier_3,0,
Tyrone BESS,Unclassified,review,No rule matched — manual review needed,,400.0,Storage - Battery,Other - Other,European Energy Australia P/L,tier_1,0,
Tyrone Solar,Unclassified,review,No rule matched — manual review needed,,400.0,Solar PV - Fixed,Solar - Solar,European Energy Australia P/L,tier_1,0,
Ulinda Park BESS,WD,high,WD substation/Chinchilla corridor,Ulinda Park,156.0,Storage - Battery,Other,Ulinda Park ProjectCo Pty Ltd,tier_3,0,
University of Southern Queensland Toowoomba,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Toowoomba,1.09,Solar PV - Fixed,Solar,TBA,tier_3,0,
Upper Burdekin Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Upper Burdekin,500.0,,Wind,Windlab Developments,tier_2,0,
Upper Burdekin Wind Farm - KCI,FNQ,high,FNQ corridor (Townsville and north),Upper Burdekin,355.0,Wind Turbine - Onshore,Wind - Wind,UPPER BURDEKIN WIND FARM PTY LTD,tier_3,0,
Upper Calliope Solar Farm (side A),CQ,high,CQ corridor (Callide/Gladstone/Isaac),Calliope,291.0,Solar PV - Fixed,Solar - Solar,European Energy S/A,tier_1,0,
Valdora Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Valdora,15.0,Solar PV - Fixed,Solar - Solar,Diamond Energy Pty Ltd,tier_3,0,
Victoria Mill,FNQ,high,FNQ corridor (Townsville and north),Victoria Mill,19.0,Turbine - Steam Sub Critical,Bagasse,Wilmar Sugar (Herbet) Pty Ltd,tier_3,0,
Vulcan Yatala,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Vulcan Yatala,0.2,Solar PV - Fixed,Solar - Solar,TBA,tier_3,0,
Wambo Wind Farm,DD,high,Darling Downs corridor (Dalby/Bell),Wambo Wind,500.0,,Wind, Cubico Sustainable Investments Australia Pty Ltd,tier_1,0,
Wamuran BESS - KCI,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wamuran,630.0,Storage - Battery,Other - Other,RTB Renewables Pty Ltd,tier_2,0,
Wandoan South BESS,WD,high,WD substation/Chinchilla corridor,Wandoan,100.0,Storage - Battery,Other,Vena Evergy,tier_3,0,
Wandoan South Solar,WD,high,WD substation/Chinchilla corridor,Wandoan,650.0,Solar PV - Single axis tracking,Solar,Vena Evergy,tier_3,1,large_tier3
Wandoan South Solar Stage 1,WD,high,WD substation/Chinchilla corridor,Wandoan,160.0,Solar PV - Single axis tracking,Solar,Vena Evergy,tier_3,0,
Wandoan South Solar Stage 2,WD,high,WD substation/Chinchilla corridor,Wandoan,240.0,Solar PV - Single axis tracking,Solar - Solar,TBSOL,tier_3,0,
Wantirna Mini Hydro,Unclassified,review,No rule matched — manual review needed,,0.132,Hydro - Dam,Water,TBA,tier_3,0,
Warwick Solar Farm,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Warwick Solar,64.208,Solar PV - Single axis tracking,Solar,The University of Queensland,tier_3,0,
Western Downs Battery,WD,high,WD substation/Chinchilla corridor,Western Downs,259.2,Storage - Battery,Other - Other,Western Downs BESS Trust,tier_3,0,
Western Downs Battery - Stage 1 And 2,WD,high,WD substation/Chinchilla corridor,Western Downs,254.94,Storage - Battery,Other - Other,Western Downs BESS Pty Ltd as trustee for Western Downs BESS Trust,tier_3,0,
Western Downs Battery Connection,WD,high,WD substation/Chinchilla corridor,Western Downs,1000.0,,Storage,Neoen,tier_1,1,stale_proposed_4plus_releases
Western Downs Battery Connection - KCI,WD,high,WD substation/Chinchilla corridor,Western Downs,1000.0,Storage - Battery,Other - Other,Neoen Australia Pty Ltd,tier_1,0,
Western Downs Gas Peaking Plant,WD,high,WD substation/Chinchilla corridor,Western Downs,207.0,,Natural Gas Pipeline,PowerGen P51 Pty Ltd,tier_3,0,
Western Downs Gas Peaking Plant - KCI,WD,high,WD substation/Chinchilla corridor,Western Downs,207.0,Turbine - CCGT,Other - Other, PowerGen P51 Pty Ltd,tier_3,0,
Western Downs Green Power Hub,WD,high,WD substation/Chinchilla corridor,Western Downs,400.0,Solar PV - Single axis tracking,Solar,Western Downs Green Power Hub Pty Ltd,tier_3,0,
Western Downs Green Power Hub P/L,WD,high,WD substation/Chinchilla corridor,Western Downs,399.97,Solar PV - Single axis tracking,Solar - Solar,Western Downs Green Power Hub Pty Ltd,tier_3,0,
Whitsunday Solar Farm,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Whitsunday,57.5,Solar PV - Single axis tracking,Solar,Whitsunday Solar Farm Pty Ltd,tier_3,0,
Whitwood Road,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Whitwood,1.123,Reciprocating Engine - Spark ignition,Landfill Methane / Landfill Gas,LMS Energy Pty Ltd,tier_3,0,
Windy Hill,FNQ,high,FNQ corridor (Townsville and north),Windy Hill,12.0,Wind Turbine - Onshore,Wind,Ratch Australia,tier_2,0,
Wivenhoe,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wivenhoe,285.0,Storage - Pumped hydro,Water,CleanCo Queensland Limited,tier_1,0,
Wivenhoe Regional Energy Hub - Solar,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wivenhoe,1000.0,Solar PV - Single axis tracking,Solar,SolarQ Pty Ltd,tier_3,1,large_tier3
Wivenhoe Regional Energy Hub - Storage,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wivenhoe,1000.0,Storage - Battery,Other,SolarQ Pty Ltd,tier_3,1,large_tier3
Wivenhoe Small Hydro,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Wivenhoe,4.5,Hydro - Dam,Water,Stanwell Corporation Limited,tier_1,0,
Wooderson Solar Farm,WG,medium,Wide Bay region (judgement call),Wooderson,450.18,Solar PV - Single axis tracking,Solar - Solar,Wooderson Solar Development Company Pty Ltd,tier_3,0,
Woodstock BESS,Unclassified,review,No rule matched — manual review needed,,500.0,Storage - Battery,Other,AGL Energy Limited,tier_1,0,
Woodstock Renewable Energy Hub - BESS,Unclassified,review,No rule matched — manual review needed,,528.0,Storage - Battery,Other - Other,Private Energy Partners,tier_3,2,large_tier3; generic_name
Woodstock Renewable Energy Hub - Solar,Unclassified,review,No rule matched — manual review needed,,528.0,Solar PV - Fixed,Solar - Solar,Private Energy Partners,tier_3,2,large_tier3; generic_name
Woolcock Centre,FNQ,high,FNQ corridor (Townsville and north),Woolcock,0.3,Solar PV - Fixed,Solar - Solar,TBA,tier_3,0,
Woolooga BESS,WG,high,Woolooga corridor (Gympie/Maryborough),Woolooga,280.96,Storage - Battery,Other - Other,Woolooga BESS Fund Pty Limited as trustee for the Woolooga BESS Trust,tier_3,0,
Woolooga BESS - KCI,WG,high,Woolooga corridor (Gympie/Maryborough),Woolooga,400.0,Storage - Battery,Other - Other,Elements Green Australia Pty Ltd,tier_2,0,
Woolooga Battery Energy Storage System (BESS),WG,high,Woolooga corridor (Gympie/Maryborough),Woolooga,176.0,,Other,LightsourceBP,tier_1,0,
Woolooga Solar Farm,WG,high,Woolooga corridor (Gympie/Maryborough),Woolooga,222.5,Solar PV - Single axis tracking,Solar,Woolooga Fund Pty Ltd,tier_3,0,
Woonga Creek BESS,Unclassified,review,No rule matched — manual review needed,,750.0,Storage - Battery,Other - Other,Lightsource BP,tier_1,0,
Wooroora Station  Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Wooroora,322.4,Wind Turbine - Onshore,Wind - Wind,ARK Energy Corporation Pty Ltd,tier_2,0,
Wooroora Station Wind Farm,FNQ,high,FNQ corridor (Townsville and north),Wooroora,322.4,Wind Turbine - Onshore,Wind - Wind,ARK Energy Corporation Pty Ltd,tier_2,0,
Wurdong BESS,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Wurdong,404.8,Storage - Battery,Other - Other,Wurdong ProjectCo Pty Ltd,tier_3,0,
Wurdong BESS (Baywa) - KCI,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Wurdong,320.0,Storage - Battery,Other - Other,BayWA r.e Projects Australia Pty Ltd,tier_2,0,
X-Elio - Sixteen Mile SF BESS,WD,high,WD substation/Chinchilla corridor,Sixteen Mile,1100.0,Solar PV - Single axis tracking,Solar - Solar,The Trustee for X-ELIO SIXTEEN MILE TRUST,tier_1,0,
Yabulu BESS,FNQ,high,FNQ corridor (Townsville and north),Yabulu,264.0,Storage - Battery,Other - Other,Yabulu BESS Pty Ltd,tier_3,0,
Yabulu Battery Energy Storage Systems,FNQ,high,FNQ corridor (Townsville and north),Yabulu,40.0,,Storage,Genex Power Limited,tier_1,0,
Yabulu Solar Farm,FNQ,high,FNQ corridor (Townsville and north),Yabulu,92.4,Solar PV - Single axis tracking,Solar - Solar,Yabulu Solar Farm Pty Ltd,tier_3,0,
Yabulu Solar Fram,FNQ,high,FNQ corridor (Townsville and north),Yabulu,108.0,,Solar,Ace Power,tier_3,0,
Yabulu South BESS,FNQ,high,FNQ corridor (Townsville and north),Yabulu,200.0,Storage - Battery,Other - Other,Yabulu South BESS Pty Ltd,tier_3,0,
Yarranlea Solar Farm,SEQ,high,SEQ corridor (Brisbane/Ipswich/Toowoomba),Yarranlea,121.0,Solar PV - Single axis tracking,Solar - Solar,Yarranlea Solar Pty Ltd,tier_3,0,
Yarwun 1,CQ,high,CQ corridor (Callide/Gladstone/Isaac),Yarwun,180.0,Turbine - CCGT,Natural Gas Pipeline,RTA Yarwun Pty Ltd,tier_3,0,
Yelarbon SF and BESS - KCI,SD,high,Southern Downs corridor (Karara/Warwick/Bulli Creek),Yelarbon,200.0,Solar PV - Fixed,Solar - Solar,Elgin Energy,tier_3,2,stale_proposed_4plus_releases
Yuleba North Solar Project,DD,high,Darling Downs corridor (Dalby/Bell),Yuleba,300.0,Solar PV - Fixed,Solar,Vena Energy,tier_1,1,stale_proposed_4plus_releases
